Filename,Detected_Faces,Recognized_Identities,Unknown_Faces
T7,21,"714023247070 (0.86), 714023247079 (0.85), 714023247095 (0.83), 714023247104 (0.83), 71402324791 (0.82), 714023247075 (0.82), 714023247087 (0.80), 714023247096 (0.79), 714023247109 (0.77), 714023247086 (0.77), 714023247098 (0.76), 714023247102 (0.75), 714023247073 (0.72), 714023247094 (0.70), 714023247103 (0.68), 714023247111 (0.68), 714023247093 (0.67), 714023247092 (0.65), 714023247100 (0.60), 714023247080 (0.52)",1
T6,24,"714023247073 (0.87), 714023247079 (0.84), 714023247081 (0.81), 714023247068 (0.81), 714023247064 (0.81), 714023247083 (0.80), 714023247095 (0.77), 714023247077 (0.76), 714023247074 (0.76), 714023247109 (0.76), 714023247096 (0.74), 714023247090 (0.72), 714023247063 (0.72), 714023247108 (0.71), 714023247066 (0.71), 714023247082 (0.70), 714023247072 (0.66), 714023247076 (0.66), 714023247110 (0.58), 714023247100 (0.59), 714023247104 (0.59), 714023247084 (0.51), 714023247099 (0.49)",1
